Diagnosed Diabetes; Age-Adjusted; Percentage; Adults Aged 20+ Years; North Carolina Counties; 2010
Data downloaded on 7-April-2020
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Alamance County,North Carolina,37001,11.2,9.8,12.8
Alexander County,North Carolina,37003,9.5,7.0,12.6
Alleghany County,North Carolina,37005,9.0,6.7,11.8
Anson County,North Carolina,37007,12.1,9.2,15.4
Ashe County,North Carolina,37009,7.7,5.8,9.8
Avery County,North Carolina,37011,9.2,6.9,11.9
Beaufort County,North Carolina,37013,12.1,9.2,15.3
Bertie County,North Carolina,37015,12.4,9.7,15.6
Bladen County,North Carolina,37017,12.6,9.9,16.0
Brunswick County,North Carolina,37019,9.3,7.3,11.6
Buncombe County,North Carolina,37021,8.4,7.2,9.8
Burke County,North Carolina,37023,11.2,9.2,13.2
Cabarrus County,North Carolina,37025,9.6,8.3,11.1
Caldwell County,North Carolina,37027,10.1,8.2,12.2
Camden County,North Carolina,37029,9.8,7.3,13.0
Carteret County,North Carolina,37031,9.2,6.9,11.8
Caswell County,North Carolina,37033,11.8,8.9,15.0
Catawba County,North Carolina,37035,9.1,7.7,10.5
Chatham County,North Carolina,37037,8.0,6.3,9.9
Cherokee County,North Carolina,37039,10.5,8.2,13.2
Chowan County,North Carolina,37041,11.2,8.4,14.5
Clay County,North Carolina,37043,8.3,6.0,10.9
Cleveland County,North Carolina,37045,11.9,9.4,14.7
Columbus County,North Carolina,37047,11.6,9.0,14.7
Craven County,North Carolina,37049,11.2,8.7,14.1
Cumberland County,North Carolina,37051,12.6,11.1,14.3
Currituck County,North Carolina,37053,10.0,7.3,13.3
Dare County,North Carolina,37055,8.7,6.3,11.5
Davidson County,North Carolina,37057,9.9,8.6,11.4
Davie County,North Carolina,37059,10.0,7.4,13.1
Duplin County,North Carolina,37061,12.7,10.0,15.7
Durham County,North Carolina,37063,10.0,8.8,11.2
Edgecombe County,North Carolina,37065,12.8,10.0,16.3
Forsyth County,North Carolina,37067,9.4,8.1,10.9
Franklin County,North Carolina,37069,9.6,7.4,12.1
Gaston County,North Carolina,37071,11.4,9.8,13.1
Gates County,North Carolina,37073,11.4,8.7,14.7
Graham County,North Carolina,37075,9.9,7.6,12.6
Granville County,North Carolina,37077,11.6,9.0,14.8
Greene County,North Carolina,37079,11.0,8.5,14.2
Guilford County,North Carolina,37081,9.7,8.6,10.9
Halifax County,North Carolina,37083,13.7,10.6,17.1
Harnett County,North Carolina,37085,11.2,9.0,13.9
Haywood County,North Carolina,37087,8.3,6.5,10.3
Henderson County,North Carolina,37089,7.6,6.2,9.2
Hertford County,North Carolina,37091,12.3,9.5,15.7
Hoke County,North Carolina,37093,12.5,10.4,14.7
Hyde County,North Carolina,37095,11.0,8.4,14.3
Iredell County,North Carolina,37097,8.1,6.9,9.3
Jackson County,North Carolina,37099,11.7,9.5,14.2
Johnston County,North Carolina,37101,11.4,9.8,13.0
Jones County,North Carolina,37103,12.5,9.5,16.0
Lee County,North Carolina,37105,10.0,7.8,12.7
Lenoir County,North Carolina,37107,12.7,10.1,15.7
Lincoln County,North Carolina,37109,9.4,7.2,12.2
Macon County,North Carolina,37113,8.0,6.2,10.3
Madison County,North Carolina,37115,9.2,6.8,11.9
Martin County,North Carolina,37117,12.4,9.5,15.9
Mcdowell County,North Carolina,37111,11.6,9.2,14.4
Mecklenburg County,North Carolina,37119,9.0,8.0,10.1
Mitchell County,North Carolina,37121,9.2,6.9,12.2
Montgomery County,North Carolina,37123,11.1,8.3,14.3
Moore County,North Carolina,37125,8.8,6.7,11.0
Nash County,North Carolina,37127,10.9,8.4,13.6
New Hanover County,North Carolina,37129,10.0,8.6,11.5
Northampton County,North Carolina,37131,11.2,8.5,14.3
Onslow County,North Carolina,37133,10.6,9.2,12.1
Orange County,North Carolina,37135,7.0,5.9,8.2
Pamlico County,North Carolina,37137,10.3,7.6,13.5
Pasquotank County,North Carolina,37139,11.5,8.9,14.7
Pender County,North Carolina,37141,10.1,7.8,12.9
Perquimans County,North Carolina,37143,11.1,8.1,14.7
Person County,North Carolina,37145,11.6,9.0,15.0
Pitt County,North Carolina,37147,9.4,8.1,10.8
Polk County,North Carolina,37149,7.5,5.6,9.8
Randolph County,North Carolina,37151,9.3,8.1,10.7
Richmond County,North Carolina,37153,11.3,8.8,14.5
Robeson County,North Carolina,37155,14.8,13.0,16.6
Rockingham County,North Carolina,37157,10.0,7.8,12.7
Rowan County,North Carolina,37159,11.3,10.0,12.9
Rutherford County,North Carolina,37161,10.5,8.5,12.7
Sampson County,North Carolina,37163,11.5,8.9,14.5
Scotland County,North Carolina,37165,12.0,9.8,14.6
Stanly County,North Carolina,37167,10.4,7.9,13.3
Stokes County,North Carolina,37169,8.7,6.5,11.4
Surry County,North Carolina,37171,10.8,8.2,14.1
Swain County,North Carolina,37173,13.0,10.7,15.5
Transylvania County,North Carolina,37175,7.2,5.5,9.2
Tyrrell County,North Carolina,37177,11.6,8.6,15.2
Union County,North Carolina,37179,8.5,7.3,9.9
Vance County,North Carolina,37181,12.8,10.0,16.0
Wake County,North Carolina,37183,7.4,6.5,8.4
Warren County,North Carolina,37185,13.0,10.0,16.7
Washington County,North Carolina,37187,11.5,8.7,15.2
Watauga County,North Carolina,37189,9.6,7.6,11.9
Wayne County,North Carolina,37191,11.4,10.1,12.9
Wilkes County,North Carolina,37193,11.0,9.0,13.2
Wilson County,North Carolina,37195,12.3,9.7,15.3
Yadkin County,North Carolina,37197,8.5,6.3,11.1
Yancey County,North Carolina,37199,8.7,6.6,11.3
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
