Diagnosed Diabetes; Age-Adjusted; Percentage; Adults Aged 20+ Years; North Carolina Counties; 2014
Data downloaded on 7-April-2020
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Alamance County,North Carolina,37001,10.1,8.2,12.3
Alexander County,North Carolina,37003,9.8,7.2,13.1
Alleghany County,North Carolina,37005,9.7,7.0,13.5
Anson County,North Carolina,37007,12.7,9.6,16.2
Ashe County,North Carolina,37009,9.3,6.9,12.3
Avery County,North Carolina,37011,10.5,7.7,13.8
Beaufort County,North Carolina,37013,11.5,8.8,14.6
Bertie County,North Carolina,37015,10.8,8.2,14.1
Bladen County,North Carolina,37017,12.1,9.4,15.5
Brunswick County,North Carolina,37019,8.3,6.6,10.3
Buncombe County,North Carolina,37021,7.9,6.4,9.6
Burke County,North Carolina,37023,9.4,7.3,12.0
Cabarrus County,North Carolina,37025,9.1,7.3,11.2
Caldwell County,North Carolina,37027,11.6,8.7,14.8
Camden County,North Carolina,37029,10.1,7.5,13.4
Carteret County,North Carolina,37031,8.3,6.3,10.6
Caswell County,North Carolina,37033,10.6,8.0,13.5
Catawba County,North Carolina,37035,11.2,9.1,13.6
Chatham County,North Carolina,37037,8.9,6.9,11.5
Cherokee County,North Carolina,37039,8.9,6.7,11.9
Chowan County,North Carolina,37041,11.2,8.3,14.5
Clay County,North Carolina,37043,8.9,6.2,12.0
Cleveland County,North Carolina,37045,11.2,8.9,14.0
Columbus County,North Carolina,37047,13.1,10.3,16.2
Craven County,North Carolina,37049,11.6,9.3,14.4
Cumberland County,North Carolina,37051,12.6,10.9,14.5
Currituck County,North Carolina,37053,9.6,7.1,12.7
Dare County,North Carolina,37055,7.8,6.0,10.2
Davidson County,North Carolina,37057,9.5,7.7,11.5
Davie County,North Carolina,37059,9.4,7.1,12.7
Duplin County,North Carolina,37061,12.8,9.9,16.1
Durham County,North Carolina,37063,8.3,6.9,9.8
Edgecombe County,North Carolina,37065,13.8,10.8,17.0
Forsyth County,North Carolina,37067,10.7,9.2,12.4
Franklin County,North Carolina,37069,12.3,9.5,15.4
Gaston County,North Carolina,37071,11.2,9.4,13.2
Gates County,North Carolina,37073,10.7,7.9,14.1
Graham County,North Carolina,37075,9.3,6.8,12.5
Granville County,North Carolina,37077,10.8,8.4,13.6
Greene County,North Carolina,37079,11.1,8.2,14.4
Guilford County,North Carolina,37081,9.7,8.3,11.3
Halifax County,North Carolina,37083,12.3,9.5,15.9
Harnett County,North Carolina,37085,11.1,8.8,13.7
Haywood County,North Carolina,37087,8.8,6.7,11.2
Henderson County,North Carolina,37089,6.9,5.3,8.8
Hertford County,North Carolina,37091,13.5,10.4,17.2
Hoke County,North Carolina,37093,10.9,8.3,13.8
Hyde County,North Carolina,37095,10.7,7.8,14.2
Iredell County,North Carolina,37097,10.0,8.1,12.1
Jackson County,North Carolina,37099,9.6,7.3,12.0
Johnston County,North Carolina,37101,12.2,9.9,14.8
Jones County,North Carolina,37103,12.0,9.0,15.9
Lee County,North Carolina,37105,12.2,9.7,15.1
Lenoir County,North Carolina,37107,13.2,10.5,16.3
Lincoln County,North Carolina,37109,10.4,7.9,13.2
Macon County,North Carolina,37113,9.4,6.7,12.5
Madison County,North Carolina,37115,8.9,6.3,12.1
Martin County,North Carolina,37117,11.7,8.9,15.0
Mcdowell County,North Carolina,37111,10.9,8.3,14.0
Mecklenburg County,North Carolina,37119,9.1,8.0,10.3
Mitchell County,North Carolina,37121,9.8,7.0,13.3
Montgomery County,North Carolina,37123,9.5,7.2,12.4
Moore County,North Carolina,37125,8.4,6.6,10.6
Nash County,North Carolina,37127,12.1,9.6,15.1
New Hanover County,North Carolina,37129,7.7,6.4,9.1
Northampton County,North Carolina,37131,11.9,9.1,15.2
Onslow County,North Carolina,37133,10.1,8.0,12.4
Orange County,North Carolina,37135,8.2,6.5,10.2
Pamlico County,North Carolina,37137,10.4,7.8,13.7
Pasquotank County,North Carolina,37139,11.5,8.9,14.4
Pender County,North Carolina,37141,10.3,7.9,13.1
Perquimans County,North Carolina,37143,10.7,8.0,13.8
Person County,North Carolina,37145,10.7,8.1,13.6
Pitt County,North Carolina,37147,10.2,8.3,12.5
Polk County,North Carolina,37149,9.5,6.7,12.8
Randolph County,North Carolina,37151,12.0,9.9,14.6
Richmond County,North Carolina,37153,10.3,7.9,13.1
Robeson County,North Carolina,37155,15.0,13.1,17.0
Rockingham County,North Carolina,37157,10.4,8.2,13.1
Rowan County,North Carolina,37159,11.4,9.1,13.9
Rutherford County,North Carolina,37161,11.1,8.4,14.1
Sampson County,North Carolina,37163,13.1,10.4,16.4
Scotland County,North Carolina,37165,11.3,8.6,14.6
Stanly County,North Carolina,37167,10.1,7.7,13.0
Stokes County,North Carolina,37169,9.3,7.1,11.9
Surry County,North Carolina,37171,10.1,7.6,13.1
Swain County,North Carolina,37173,10.9,8.2,14.4
Transylvania County,North Carolina,37175,7.8,5.7,10.3
Tyrrell County,North Carolina,37177,11.3,8.3,14.9
Union County,North Carolina,37179,10.1,8.3,12.0
Vance County,North Carolina,37181,11.2,8.6,14.3
Wake County,North Carolina,37183,8.5,7.4,9.6
Warren County,North Carolina,37185,11.8,8.9,15.1
Washington County,North Carolina,37187,11.4,8.4,15.2
Watauga County,North Carolina,37189,9.2,6.9,12.1
Wayne County,North Carolina,37191,12.8,10.4,15.5
Wilkes County,North Carolina,37193,10.2,7.6,13.1
Wilson County,North Carolina,37195,11.3,9.0,14.1
Yadkin County,North Carolina,37197,8.8,6.6,11.6
Yancey County,North Carolina,37199,8.4,5.7,11.5
