Diagnosed Diabetes; Age-Adjusted; Percentage; Adults Aged 20+ Years; North Carolina Counties; 2011
Data downloaded on 7-April-2020
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Alamance County,North Carolina,37001,11.0,9.4,12.7
Alexander County,North Carolina,37003,9.2,6.9,12.1
Alleghany County,North Carolina,37005,8.8,6.4,11.8
Anson County,North Carolina,37007,12.3,9.4,15.6
Ashe County,North Carolina,37009,7.9,5.9,10.3
Avery County,North Carolina,37011,8.8,6.5,11.5
Beaufort County,North Carolina,37013,10.8,8.2,14.0
Bertie County,North Carolina,37015,12.0,9.0,15.6
Bladen County,North Carolina,37017,12.8,9.9,16.2
Brunswick County,North Carolina,37019,8.7,6.9,10.7
Buncombe County,North Carolina,37021,8.7,7.4,10.2
Burke County,North Carolina,37023,11.0,8.9,13.4
Cabarrus County,North Carolina,37025,9.3,7.8,10.8
Caldwell County,North Carolina,37027,11.1,9.0,13.7
Camden County,North Carolina,37029,9.8,7.2,12.9
Carteret County,North Carolina,37031,9.3,7.1,11.9
Caswell County,North Carolina,37033,11.0,8.4,14.1
Catawba County,North Carolina,37035,10.2,8.6,12.0
Chatham County,North Carolina,37037,8.3,6.5,10.5
Cherokee County,North Carolina,37039,10.5,7.9,13.6
Chowan County,North Carolina,37041,11.3,8.4,14.8
Clay County,North Carolina,37043,8.3,6.0,11.3
Cleveland County,North Carolina,37045,10.9,8.6,13.5
Columbus County,North Carolina,37047,12.0,9.2,15.4
Craven County,North Carolina,37049,10.0,7.9,12.4
Cumberland County,North Carolina,37051,11.7,10.3,13.3
Currituck County,North Carolina,37053,9.4,6.9,12.5
Dare County,North Carolina,37055,8.0,5.7,10.7
Davidson County,North Carolina,37057,9.9,8.4,11.6
Davie County,North Carolina,37059,9.7,7.3,12.4
Duplin County,North Carolina,37061,12.0,9.4,15.0
Durham County,North Carolina,37063,9.8,8.6,11.1
Edgecombe County,North Carolina,37065,13.5,10.5,16.7
Forsyth County,North Carolina,37067,9.3,8.0,10.7
Franklin County,North Carolina,37069,10.0,7.7,12.9
Gaston County,North Carolina,37071,12.7,11.0,14.5
Gates County,North Carolina,37073,10.7,8.1,13.9
Graham County,North Carolina,37075,9.8,7.3,12.8
Granville County,North Carolina,37077,11.1,8.6,14.1
Greene County,North Carolina,37079,11.5,8.6,14.9
Guilford County,North Carolina,37081,9.3,8.2,10.4
Halifax County,North Carolina,37083,12.8,10.0,16.3
Harnett County,North Carolina,37085,10.2,8.2,12.6
Haywood County,North Carolina,37087,8.8,6.8,11.0
Henderson County,North Carolina,37089,8.3,6.7,10.1
Hertford County,North Carolina,37091,12.1,9.2,15.6
Hoke County,North Carolina,37093,13.3,10.9,16.0
Hyde County,North Carolina,37095,10.8,7.9,14.0
Iredell County,North Carolina,37097,8.3,7.0,9.9
Jackson County,North Carolina,37099,12.4,9.8,15.2
Johnston County,North Carolina,37101,12.5,10.7,14.6
Jones County,North Carolina,37103,12.9,9.9,16.8
Lee County,North Carolina,37105,10.6,8.2,13.4
Lenoir County,North Carolina,37107,12.9,10.2,16.1
Lincoln County,North Carolina,37109,9.6,7.4,12.0
Macon County,North Carolina,37113,7.6,5.7,9.9
Madison County,North Carolina,37115,9.4,6.9,12.4
Martin County,North Carolina,37117,12.6,9.6,16.1
Mcdowell County,North Carolina,37111,12.1,9.2,15.3
Mecklenburg County,North Carolina,37119,9.2,8.2,10.3
Mitchell County,North Carolina,37121,10.1,7.3,13.6
Montgomery County,North Carolina,37123,11.6,8.7,14.9
Moore County,North Carolina,37125,9.6,7.5,12.0
Nash County,North Carolina,37127,10.9,8.6,13.5
New Hanover County,North Carolina,37129,8.8,7.6,10.2
Northampton County,North Carolina,37131,11.8,9.0,15.0
Onslow County,North Carolina,37133,10.3,8.7,11.9
Orange County,North Carolina,37135,7.5,6.3,8.9
Pamlico County,North Carolina,37137,11.2,8.3,14.8
Pasquotank County,North Carolina,37139,13.0,10.1,16.3
Pender County,North Carolina,37141,10.8,8.5,13.7
Perquimans County,North Carolina,37143,11.4,8.8,14.9
Person County,North Carolina,37145,10.7,8.2,13.8
Pitt County,North Carolina,37147,9.5,8.1,11.0
Polk County,North Carolina,37149,8.0,5.9,10.5
Randolph County,North Carolina,37151,10.0,8.6,11.6
Richmond County,North Carolina,37153,11.3,8.6,14.5
Robeson County,North Carolina,37155,14.9,13.2,16.6
Rockingham County,North Carolina,37157,11.5,9.2,14.4
Rowan County,North Carolina,37159,11.4,9.8,13.1
Rutherford County,North Carolina,37161,10.8,8.6,13.1
Sampson County,North Carolina,37163,10.9,8.4,13.8
Scotland County,North Carolina,37165,13.3,10.6,16.2
Stanly County,North Carolina,37167,10.2,7.8,13.1
