Diagnosed Diabetes; Age-Adjusted; Percentage; Adults Aged 20+ Years; North Carolina Counties; 2016
Data downloaded on 7-April-2020
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Alamance County,North Carolina,37001,11.0,7.7,14.8
Alexander County,North Carolina,37003,16.2,7.3,29.7
Alleghany County,North Carolina,37005,8.1,2.5,17.8
Anson County,North Carolina,37007,17.0,7.9,31.8
Ashe County,North Carolina,37009,14.3,7.4,23.6
Avery County,North Carolina,37011,16.4,7.1,30.2
Beaufort County,North Carolina,37013,8.2,4.9,12.8
Bertie County,North Carolina,37015,17.6,11.5,25.3
Bladen County,North Carolina,37017,16.3,9.5,25.9
Brunswick County,North Carolina,37019,9.2,6.2,12.8
Buncombe County,North Carolina,37021,7.0,5.2,9.1
Burke County,North Carolina,37023,7.0,4.1,10.7
Cabarrus County,North Carolina,37025,10.9,7.7,14.5
Caldwell County,North Carolina,37027,16.4,10.0,25.1
Camden County,North Carolina,37029,9.1,4.0,16.9
Carteret County,North Carolina,37031,8.3,5.2,12.1
Caswell County,North Carolina,37033,4.5,1.6,10.0
Catawba County,North Carolina,37035,8.8,6.0,12.5
Chatham County,North Carolina,37037,8.6,4.5,14.8
Cherokee County,North Carolina,37039,9.5,6.0,14.1
Chowan County,North Carolina,37041,13.1,7.6,20.8
Clay County,North Carolina,37043,3.7,1.3,8.1
Cleveland County,North Carolina,37045,13.2,8.6,19.4
Columbus County,North Carolina,37047,16.9,11.3,24.3
Craven County,North Carolina,37049,14.1,10.1,18.4
Cumberland County,North Carolina,37051,11.9,9.8,14.2
Currituck County,North Carolina,37053,7.8,4.1,13.4
Dare County,North Carolina,37055,8.2,5.5,11.7
Davidson County,North Carolina,37057,13.4,9.7,17.8
Davie County,North Carolina,37059,13.3,7.0,22.3
Duplin County,North Carolina,37061,18.3,11.3,26.9
Durham County,North Carolina,37063,6.7,4.9,8.7
Edgecombe County,North Carolina,37065,14.0,7.7,23.0
Forsyth County,North Carolina,37067,10.0,8.1,12.2
Franklin County,North Carolina,37069,7.1,3.5,12.3
Gaston County,North Carolina,37071,9.1,6.3,12.5
Gates County,North Carolina,37073,12.2,6.1,22.5
Graham County,North Carolina,37075,5.1,1.6,11.5
Granville County,North Carolina,37077,9.3,4.4,16.6
Greene County,North Carolina,37079,10.5,4.6,20.0
Guilford County,North Carolina,37081,8.7,7.0,10.8
Halifax County,North Carolina,37083,19.4,12.7,27.9
Harnett County,North Carolina,37085,11.6,8.2,15.9
Haywood County,North Carolina,37087,8.7,6.3,11.9
