Diagnosed Diabetes; Age-Adjusted; Percentage; Adults Aged 20+ Years; North Carolina Counties; 2013
Data downloaded on 7-April-2020
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Alamance County,North Carolina,37001,9.6,7.8,11.8
Alexander County,North Carolina,37003,9.8,7.5,13.0
Alleghany County,North Carolina,37005,9.8,6.6,13.2
Anson County,North Carolina,37007,13.3,10.0,16.9
Ashe County,North Carolina,37009,9.0,6.4,12.2
Avery County,North Carolina,37011,9.5,7.1,12.5
Beaufort County,North Carolina,37013,10.7,8.3,13.7
Bertie County,North Carolina,37015,11.7,8.6,15.0
Bladen County,North Carolina,37017,12.2,9.3,15.5
Brunswick County,North Carolina,37019,8.1,6.4,10.0
Buncombe County,North Carolina,37021,8.2,7.0,9.7
Burke County,North Carolina,37023,10.0,7.4,12.8
Cabarrus County,North Carolina,37025,9.3,7.6,11.3
Caldwell County,North Carolina,37027,12.1,9.3,15.2
Camden County,North Carolina,37029,9.6,6.9,13.0
Carteret County,North Carolina,37031,8.2,6.1,10.8
Caswell County,North Carolina,37033,10.9,8.4,13.9
Catawba County,North Carolina,37035,11.9,9.6,14.2
Chatham County,North Carolina,37037,9.3,7.2,11.7
Cherokee County,North Carolina,37039,9.7,7.1,12.8
Chowan County,North Carolina,37041,10.4,7.6,13.8
Clay County,North Carolina,37043,9.5,6.5,12.9
Cleveland County,North Carolina,37045,10.6,8.5,13.2
Columbus County,North Carolina,37047,13.8,10.9,17.2
Craven County,North Carolina,37049,9.4,7.5,11.7
Cumberland County,North Carolina,37051,12.6,11.1,14.3
Currituck County,North Carolina,37053,9.2,6.6,12.5
Dare County,North Carolina,37055,8.1,6.0,10.7
Davidson County,North Carolina,37057,9.5,7.8,11.5
Davie County,North Carolina,37059,8.8,6.7,11.4
Duplin County,North Carolina,37061,12.1,9.6,15.2
Durham County,North Carolina,37063,9.1,7.8,10.6
Edgecombe County,North Carolina,37065,14.1,11.2,17.6
Forsyth County,North Carolina,37067,10.2,8.7,11.8
Franklin County,North Carolina,37069,12.3,9.8,15.5
Gaston County,North Carolina,37071,12.4,10.7,14.3
Gates County,North Carolina,37073,10.5,7.8,13.9
Graham County,North Carolina,37075,9.5,6.6,13.2
Granville County,North Carolina,37077,10.7,8.3,13.6
Greene County,North Carolina,37079,11.6,8.8,15.5
Guilford County,North Carolina,37081,9.7,8.4,11.0
Halifax County,North Carolina,37083,11.4,8.8,14.3
Harnett County,North Carolina,37085,10.7,8.5,13.2
Haywood County,North Carolina,37087,9.7,7.2,12.4
Henderson County,North Carolina,37089,7.5,5.7,9.6
Hertford County,North Carolina,37091,12.2,9.1,15.9
Hoke County,North Carolina,37093,13.4,10.3,16.9
Hyde County,North Carolina,37095,10.4,7.5,14.0
Iredell County,North Carolina,37097,9.3,7.5,11.5
Jackson County,North Carolina,37099,10.5,8.2,13.2
Johnston County,North Carolina,37101,13.2,10.9,15.6
Jones County,North Carolina,37103,11.9,8.8,15.5
Lee County,North Carolina,37105,12.2,9.7,15.2
Lenoir County,North Carolina,37107,13.2,10.3,16.6
Lincoln County,North Carolina,37109,9.9,7.7,12.6
Macon County,North Carolina,37113,8.6,6.0,11.6
Madison County,North Carolina,37115,8.7,5.7,12.0
Martin County,North Carolina,37117,12.7,10.0,15.9
Mcdowell County,North Carolina,37111,12.1,9.0,15.7
Mecklenburg County,North Carolina,37119,9.0,7.9,10.1
Mitchell County,North Carolina,37121,10.1,7.3,13.4
Montgomery County,North Carolina,37123,10.5,7.9,14.0
Moore County,North Carolina,37125,8.1,6.4,10.2
Nash County,North Carolina,37127,11.4,9.1,14.0
New Hanover County,North Carolina,37129,7.8,6.5,9.2
Northampton County,North Carolina,37131,12.6,9.3,16.4
Onslow County,North Carolina,37133,9.8,7.8,12.0
Orange County,North Carolina,37135,8.0,6.3,9.8
Pamlico County,North Carolina,37137,11.4,8.4,15.9
Pasquotank County,North Carolina,37139,13.2,10.1,17.0
Pender County,North Carolina,37141,10.3,7.9,13.1
Perquimans County,North Carolina,37143,10.4,7.7,13.5
Person County,North Carolina,37145,10.6,8.3,13.7
Pitt County,North Carolina,37147,9.9,8.1,12.1
Polk County,North Carolina,37149,9.5,7.0,12.9
Randolph County,North Carolina,37151,12.0,10.0,14.3
Richmond County,North Carolina,37153,9.9,7.6,12.6
Robeson County,North Carolina,37155,14.8,13.0,16.7
Rockingham County,North Carolina,37157,11.8,9.6,14.6
Rowan County,North Carolina,37159,11.2,9.2,13.5
Rutherford County,North Carolina,37161,11.5,8.7,14.8
Sampson County,North Carolina,37163,12.1,9.6,15.0
Scotland County,North Carolina,37165,12.1,9.3,15.6
Stanly County,North Carolina,37167,10.4,8.0,13.3
Stokes County,North Carolina,37169,10.5,8.0,13.4
Surry County,North Carolina,37171,11.1,8.4,14.0
Swain County,North Carolina,37173,12.8,9.9,16.6
Transylvania County,North Carolina,37175,8.2,6.0,10.8
Tyrrell County,North Carolina,37177,11.7,8.5,15.9
Union County,North Carolina,37179,9.0,7.5,10.6
Vance County,North Carolina,37181,12.2,9.6,15.0
Wake County,North Carolina,37183,8.5,7.3,9.5
Warren County,North Carolina,37185,11.4,8.6,14.7
Washington County,North Carolina,37187,11.6,8.3,15.4
Watauga County,North Carolina,37189,8.7,6.5,11.1
Wayne County,North Carolina,37191,12.0,9.8,14.4
Wilkes County,North Carolina,37193,8.7,6.6,11.3
Wilson County,North Carolina,37195,10.8,8.3,13.4
Yadkin County,North Carolina,37197,8.7,6.6,11.6
Yancey County,North Carolina,37199,8.6,6.2,11.5
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
