Diagnosed Diabetes; Age-Adjusted; Percentage; Adults Aged 20+ Years; North Carolina Counties; 2015
Data downloaded on 7-April-2020
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Alamance County,North Carolina,37001,10.3,8.2,13.0
Alexander County,North Carolina,37003,9.4,6.9,12.6
Alleghany County,North Carolina,37005,9.2,6.5,12.6
Anson County,North Carolina,37007,12.5,9.3,16.2
Ashe County,North Carolina,37009,9.1,6.5,12.1
Avery County,North Carolina,37011,10.6,7.4,14.1
Beaufort County,North Carolina,37013,9.7,7.2,12.6
Bertie County,North Carolina,37015,12.2,9.3,15.6
Bladen County,North Carolina,37017,11.8,8.9,15.3
Brunswick County,North Carolina,37019,8.3,6.6,10.2
Buncombe County,North Carolina,37021,7.6,6.2,9.2
Burke County,North Carolina,37023,9.5,7.1,12.1
Cabarrus County,North Carolina,37025,9.2,7.3,11.5
Caldwell County,North Carolina,37027,10.3,7.6,13.1
Camden County,North Carolina,37029,9.8,7.3,13.0
Carteret County,North Carolina,37031,8.4,6.4,10.8
Caswell County,North Carolina,37033,10.7,8.0,14.1
Catawba County,North Carolina,37035,10.2,8.1,12.8
Chatham County,North Carolina,37037,8.8,6.6,11.3
Cherokee County,North Carolina,37039,9.0,6.8,11.6
Chowan County,North Carolina,37041,11.3,8.6,14.7
Clay County,North Carolina,37043,8.6,6.2,11.6
Cleveland County,North Carolina,37045,11.1,8.6,13.9
Columbus County,North Carolina,37047,13.1,10.5,16.1
Craven County,North Carolina,37049,12.1,9.6,14.9
Cumberland County,North Carolina,37051,12.9,11.0,15.0
Currituck County,North Carolina,37053,10.4,7.7,13.6
Dare County,North Carolina,37055,7.8,5.9,10.0
Davidson County,North Carolina,37057,11.2,9.1,13.7
Davie County,North Carolina,37059,9.5,7.0,12.6
Duplin County,North Carolina,37061,14.2,11.3,17.8
Durham County,North Carolina,37063,8.0,6.5,9.8
Edgecombe County,North Carolina,37065,13.1,10.1,16.6
Forsyth County,North Carolina,37067,10.5,9.0,12.3
Franklin County,North Carolina,37069,9.4,7.1,12.3
Gaston County,North Carolina,37071,10.6,8.5,12.6
Gates County,North Carolina,37073,10.8,8.2,13.8
Graham County,North Carolina,37075,8.6,6.0,11.4
Granville County,North Carolina,37077,10.0,7.5,13.0
Greene County,North Carolina,37079,10.3,7.5,13.7
Guilford County,North Carolina,37081,9.7,8.2,11.2
Halifax County,North Carolina,37083,13.3,10.3,16.8
Harnett County,North Carolina,37085,10.1,7.8,12.7
Haywood County,North Carolina,37087,8.6,6.6,10.8
Henderson County,North Carolina,37089,7.6,5.8,9.7
Hertford County,North Carolina,37091,13.9,10.6,17.5
Hoke County,North Carolina,37093,10.9,8.2,14.0
Hyde County,North Carolina,37095,11.1,8.4,14.5
Iredell County,North Carolina,37097,10.2,7.9,12.6
Jackson County,North Carolina,37099,8.7,6.6,11.1
Johnston County,North Carolina,37101,11.0,8.8,13.5
Jones County,North Carolina,37103,12.0,8.8,15.8
Lee County,North Carolina,37105,10.3,7.8,13.3
Lenoir County,North Carolina,37107,13.0,10.3,16.2
Lincoln County,North Carolina,37109,9.7,7.3,12.5
Macon County,North Carolina,37113,8.5,6.2,11.2
Madison County,North Carolina,37115,8.3,6.0,11.2
Martin County,North Carolina,37117,11.0,8.1,14.3
Mcdowell County,North Carolina,37111,10.4,8.0,13.0
Mecklenburg County,North Carolina,37119,9.0,8.0,10.2
Mitchell County,North Carolina,37121,9.2,6.4,12.6
Montgomery County,North Carolina,37123,9.8,7.2,13.0
Moore County,North Carolina,37125,8.6,6.5,11.0
Nash County,North Carolina,37127,12.3,9.7,15.4
New Hanover County,North Carolina,37129,8.4,6.9,10.2
Northampton County,North Carolina,37131,13.3,10.3,17.1
Onslow County,North Carolina,37133,9.7,7.6,12.1
Orange County,North Carolina,37135,8.1,6.3,10.1
Pamlico County,North Carolina,37137,10.2,7.5,13.3
Pasquotank County,North Carolina,37139,11.1,8.7,13.8
Pender County,North Carolina,37141,10.9,8.4,13.6
Perquimans County,North Carolina,37143,10.9,8.2,14.0
Person County,North Carolina,37145,9.8,7.3,12.7
Pitt County,North Carolina,37147,11.1,9.1,13.4
Polk County,North Carolina,37149,9.1,6.4,12.4
Randolph County,North Carolina,37151,9.5,7.3,11.9
Richmond County,North Carolina,37153,12.5,9.6,15.6
Robeson County,North Carolina,37155,14.5,11.7,17.6
Rockingham County,North Carolina,37157,11.3,8.6,14.2
Rowan County,North Carolina,37159,10.6,8.4,13.2
Rutherford County,North Carolina,37161,9.7,7.3,12.4
Sampson County,North Carolina,37163,10.9,8.5,13.7
Scotland County,North Carolina,37165,11.8,8.9,15.2
Stanly County,North Carolina,37167,10.3,7.8,13.3
Stokes County,North Carolina,37169,8.9,6.5,11.9
Surry County,North Carolina,37171,10.8,8.3,13.7
Swain County,North Carolina,37173,10.2,7.6,13.4
Transylvania County,North Carolina,37175,7.4,5.6,9.7
Tyrrell County,North Carolina,37177,11.5,8.5,15.2
Union County,North Carolina,37179,9.3,7.4,11.5
Vance County,North Carolina,37181,11.3,8.4,14.5
Wake County,North Carolina,37183,7.9,6.8,9.0
Warren County,North Carolina,37185,11.0,8.1,14.5
Washington County,North Carolina,37187,11.6,8.7,15.1
Watauga County,North Carolina,37189,8.5,6.3,11.4
Wayne County,North Carolina,37191,12.1,9.9,14.8
Wilkes County,North Carolina,37193,10.7,8.1,13.9
Wilson County,North Carolina,37195,10.3,7.9,13.0
Yadkin County,North Carolina,37197,8.9,6.3,11.7
Yancey County,North Carolina,37199,8.4,6.0,11.4
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
