Diagnosed Diabetes; Age-Adjusted; Percentage; Adults Aged 20+ Years; North Carolina Counties; 2007
Data downloaded on 7-April-2020
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Alamance County,North Carolina,37001,9.4,8.1,10.7
Alexander County,North Carolina,37003,9.0,6.8,11.5
Alleghany County,North Carolina,37005,8.9,6.6,11.8
Anson County,North Carolina,37007,11.0,8.5,14.0
Ashe County,North Carolina,37009,7.1,5.5,9.0
Avery County,North Carolina,37011,9.1,6.8,11.9
Beaufort County,North Carolina,37013,9.3,7.6,11.6
Bertie County,North Carolina,37015,12.3,9.8,15.2
Bladen County,North Carolina,37017,9.9,7.8,12.6
Brunswick County,North Carolina,37019,7.9,6.5,9.6
Buncombe County,North Carolina,37021,7.8,6.5,9.1
Burke County,North Carolina,37023,9.1,7.5,10.9
Cabarrus County,North Carolina,37025,9.6,8.3,11.2
Caldwell County,North Carolina,37027,9.0,7.3,11.0
Camden County,North Carolina,37029,10.0,7.6,13.1
Carteret County,North Carolina,37031,9.3,7.3,11.4
Caswell County,North Carolina,37033,11.9,9.4,15.0
Catawba County,North Carolina,37035,8.4,7.2,9.7
Chatham County,North Carolina,37037,8.5,6.8,10.5
Cherokee County,North Carolina,37039,9.3,7.1,11.7
Chowan County,North Carolina,37041,10.4,8.0,13.4
Clay County,North Carolina,37043,8.6,6.2,11.4
Cleveland County,North Carolina,37045,10.9,8.6,13.6
Columbus County,North Carolina,37047,11.2,9.0,13.7
Craven County,North Carolina,37049,9.0,7.4,10.8
Cumberland County,North Carolina,37051,11.8,10.4,13.3
Currituck County,North Carolina,37053,8.2,6.0,10.6
Dare County,North Carolina,37055,7.8,5.9,10.1
Davidson County,North Carolina,37057,9.5,8.2,11.0
Davie County,North Carolina,37059,8.8,6.6,11.4
Duplin County,North Carolina,37061,10.2,8.0,12.6
Durham County,North Carolina,37063,8.7,7.5,9.9
Edgecombe County,North Carolina,37065,12.7,10.5,15.2
Forsyth County,North Carolina,37067,7.5,6.4,8.7
Franklin County,North Carolina,37069,10.2,8.1,12.6
Gaston County,North Carolina,37071,9.9,8.6,11.4
Gates County,North Carolina,37073,11.6,9.0,14.5
Graham County,North Carolina,37075,9.1,6.7,12.1
Granville County,North Carolina,37077,10.4,8.3,12.7
Greene County,North Carolina,37079,12.2,9.5,15.3
Guilford County,North Carolina,37081,8.8,7.7,10.2
Halifax County,North Carolina,37083,12.9,10.6,15.5
Harnett County,North Carolina,37085,9.3,7.6,11.4
Haywood County,North Carolina,37087,9.3,7.3,11.3
Henderson County,North Carolina,37089,8.3,6.8,10.0
Hertford County,North Carolina,37091,12.5,10.0,15.3
Hoke County,North Carolina,37093,12.5,10.3,14.8
Hyde County,North Carolina,37095,10.5,7.9,13.7
Iredell County,North Carolina,37097,8.6,7.4,9.9
Jackson County,North Carolina,37099,10.6,8.5,12.9
Johnston County,North Carolina,37101,8.7,7.6,9.9
Jones County,North Carolina,37103,11.6,9.0,14.8
Lee County,North Carolina,37105,11.2,9.0,13.9
Lenoir County,North Carolina,37107,10.4,8.4,12.6
Lincoln County,North Carolina,37109,11.0,8.7,13.4
Macon County,North Carolina,37113,7.8,6.1,9.7
Madison County,North Carolina,37115,8.5,6.3,11.3
Martin County,North Carolina,37117,11.9,9.3,14.6
Mcdowell County,North Carolina,37111,10.0,7.9,12.6
Mecklenburg County,North Carolina,37119,8.0,7.1,9.0
Mitchell County,North Carolina,37121,10.5,8.0,13.6
Montgomery County,North Carolina,37123,10.0,7.7,12.8
Moore County,North Carolina,37125,8.3,6.6,10.1
Nash County,North Carolina,37127,10.5,8.7,12.4
New Hanover County,North Carolina,37129,8.9,7.7,10.2
Northampton County,North Carolina,37131,13.3,10.5,16.5
Onslow County,North Carolina,37133,9.8,8.5,11.2
Orange County,North Carolina,37135,7.1,6.0,8.3
Pamlico County,North Carolina,37137,9.8,7.5,12.6
Pasquotank County,North Carolina,37139,10.4,8.3,12.8
Pender County,North Carolina,37141,10.3,8.2,12.7
Perquimans County,North Carolina,37143,9.2,7.0,11.8
Person County,North Carolina,37145,10.2,8.0,12.7
Pitt County,North Carolina,37147,10.2,9.0,11.6
Polk County,North Carolina,37149,7.8,5.8,10.5
Randolph County,North Carolina,37151,9.6,8.2,10.9
Richmond County,North Carolina,37153,9.9,7.6,12.6
Robeson County,North Carolina,37155,12.3,10.8,13.9
Rockingham County,North Carolina,37157,10.8,8.7,13.2
Rowan County,North Carolina,37159,11.0,9.6,12.5
Rutherford County,North Carolina,37161,9.6,7.7,11.8
Sampson County,North Carolina,37163,10.3,8.2,12.4
Scotland County,North Carolina,37165,12.9,10.5,15.5
Stanly County,North Carolina,37167,8.8,6.9,11.0
Stokes County,North Carolina,37169,9.2,7.0,12.0
Surry County,North Carolina,37171,9.7,7.5,12.4
Swain County,North Carolina,37173,10.1,8.1,12.3
Transylvania County,North Carolina,37175,7.6,5.7,9.9
Tyrrell County,North Carolina,37177,10.4,7.8,13.4
Union County,North Carolina,37179,8.0,6.8,9.3
Vance County,North Carolina,37181,11.6,9.1,14.5
Wake County,North Carolina,37183,8.3,7.4,9.3
Warren County,North Carolina,37185,12.3,9.9,15.4
Washington County,North Carolina,37187,10.8,8.4,13.9
Watauga County,North Carolina,37189,7.1,5.5,9.0
Wayne County,North Carolina,37191,9.7,8.3,11.1
Wilkes County,North Carolina,37193,9.6,8.0,11.5
Wilson County,North Carolina,37195,11.2,9.1,13.4
Yadkin County,North Carolina,37197,10.2,7.8,13.0
Yancey County,North Carolina,37199,7.2,5.3,9.7
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
